Symbol	Type	Valence	Arousal	Dominance
disorder	word	3.76	4.9	4.19
disorderly	word	2.95	4.85	4.05
disorientation	word	3.57	5.1	3.14
disoriented	word	3.26	4.81	4
disown	word	2.29	4.54	3.64
disparage	word	3	3.96	3.52
dispatch	word	4.9	3.55	5.32
dispatcher	word	4.59	3.86	4.95
dispensary	word	5.05	4.14	5.08
dispense	word	5.24	2.95	5.45
dispenser	word	5.26	4.18	5.48
dispersal	word	4.91	4.43	5.16
disperse	word	4.19	3.67	5.12
displace	word	2.89	3.8	4.65
displacement	word	3.68	3.86	4.85
display	word	6.19	3.81	6.48
displease	word	2.63	5.71	4.45
displeased	word	3.41	4.22	5
displeasure	word	2.52	4.81	4.08
disposable	word	4	2.9	3.5
disposal	word	4	4.42	4.1
dispose	word	4	5.53	4.92
disposition	word	4.81	4.16	5.61
disprove	word	3.9	4.3	4.1
dispute	word	2.52	4.55	4.14
disqualify	word	2.47	4.7	3.45
disregard	word	4.52	3.5	4.88
disrespect	word	2.81	5.35	3.95
disrespectful	word	2.71	4.65	3.7
disrupt	word	3.48	4.87	4.62
disruption	word	3.32	5.48	3.9
disruptive	word	3.2	6.1	4.92
dissatisfied	word	3.25	4.82	4.74
dissect	word	3.95	5.43	5.16
dissection	word	3.11	4.32	4.91
dissent	word	4.8	4	3.84
dissertation	word	4.3	3.71	5.56
dissociative	word	3.58	4.61	4.07
dissolve	word	5.43	3.36	4.67
dissuade	word	4.11	3.35	4.96
distance	word	3.89	3.81	4.25
distant	word	4.74	2.95	3.56
distasteful	word	3.17	5.05	3.92
distilled	word	5.16	3.11	4.68
distinct	word	5.55	3.67	5.8
distinction	word	5.05	3.6	6
distinctive	word	6.32	3.78	6.18
distinguish	word	5.26	3.87	5.43
distinguished	word	6.62	4.4	5.86
distinguishing	word	5.37	5.7	6
distort	word	3.38	3.62	4.7
distorted	word	3.89	5.29	4.09
distortion	word	3.5	4.43	3.86
distract	word	3.68	3.55	4.35
distraction	word	4.05	3.94	4
distraught	word	2.81	5.64	3.55
distress	word	3.25	4	3.9
distressed	word	3.38	6.28	4.16
distressing	word	3.58	5.52	4.5
distribute	word	5.05	3.72	4.82
distribution	word	5.5	3.45	5.21
distributor	word	4.62	3.2	5.74
district	word	4.9	3	4.62
distrust	word	2.95	4.05	3.32
disturb	word	3.45	4.98	4.29
disturbance	word	2.68	5.19	3.3
disturbing	word	2.68	5.65	4.4
ditch	word	3.2	3.81	5.42
ditto	word	5.5	3.9	6
ditty	word	5.38	3.68	5.05
diva	word	3.68	4.55	5.71
dive	word	5.81	3.79	5.75
diver	word	5.66	5.42	5.9
diverse	word	6	3.64	6.17
diversion	word	5.22	4.48	5.65
diversionary	word	4.42	3.52	4.85
diversity	word	6.14	3.21	4.71
divert	word	4.42	4.1	5.47
divide	word	4.78	4.62	4.91
divine	word	7.15	3.05	5.96
division	word	4.42	3.57	5.48
divorce	word	2.49	5.39	4.02
divorcee	word	3.29	3.8	4.16
divulge	word	4.79	5.43	5.04
divvy	word	4.81	3.27	5.77
dizziness	word	3.36	4.95	4.25
dizzy	word	3.14	4.67	3.55
do	word	5.41	3.67	6.35
doable	word	5.52	4.24	6.65
doc	word	4.67	3.14	4.28
docile	word	5.75	2.47	5.46
dock	word	5.05	3.44	5.88
docket	word	4.53	3.3	4.87
docking	word	5.2	3.74	5.71
doctor	word	5.93	4.05	4.69
doctorate	word	5.95	3.91	6.52
doctrine	word	4.89	3	5.35
document	word	5.42	2.9	5.41
documentary	word	5.91	3.76	5.41
documentation	word	4.84	3.38	6.12
documents	word	5.35	3.73	6.33
dodger	word	4.7	3.95	6.16
dodgy	word	4.79	4.55	4.62
dodo	word	3.91	4	4.95
doer	word	5.63	4.38	6.96
dog	word	7	5.43	5.73
dogface	word	3.95	4.14	4.9
doggy	word	7	4.79	5.48
doghouse	word	5.1	2.68	4.72
dojo	word	6	4.15	5.38
dole	word	4.95	4.4	4.82
doll	word	5.88	3.51	5.66
dollar	word	7.39	5.57	5.07
dollhouse	word	5.6	3.55	6
dolphin	word	6.67	3	5.67
domain	word	5.05	3.36	6.92
dome	word	5.95	4.42	5.54
domestic	word	5.05	2.8	6.12
domesticated	word	5.82	3.67	5.59
dominance	word	5.19	5.5	4.59
dominant	word	5.15	5.36	6.78
dominate	word	4.4	6.4	5.54
domination	word	3.57	5	5.35
dominatrix	word	4.32	5.65	3.96
dominion	word	4.62	4.67	4.96
domino	word	5	3.46	4.75
donate	word	6.7	3.25	6.71
donation	word	7	4	6.73
donkey	word	6.29	2.9	5.12
donor	word	6.57	3.76	6.79
doodle	word	6.39	4.09	6.91
doom	word	3	6.17	2.42
doomsday	word	2.8	6.22	3
door	word	5.43	3.19	6.1
doorbell	word	5.33	4.17	5.12
doorknob	word	4.86	2.64	5.58
doorman	word	5.45	3.35	5.67
doormat	word	3.68	3.2	4.73
doornail	word	4.68	3.32	5
doorstep	word	5.14	3.26	5.1
doorway	word	5.68	3.65	5.58
dopamine	word	4.64	4.58	4.38
dope	word	4.14	4.24	4.95
dopey	word	3.86	2.91	4.2
dork	word	4.35	2.88	5.8
dorky	word	5.12	4.5	5
dorm	word	5.16	4.29	5.13
dormant	word	4.85	3	5.11
dormitory	word	5.06	4.5	4.87
dorsal	word	5.05	3.7	5.04
dosage	word	4.57	4	5.79
dose	word	4.91	2.95	5
dossier	word	4.84	3.72	5.38
dot	word	4.84	3.09	5.17
dotted	word	4.86	3.33	5.4
dotty	word	5.16	3.55	4.8
double	word	5.78	3.38	5.11
doubt	word	3.28	4.33	3.06
doubtful	word	3.86	4.55	4.23
douche	word	2.9	4.13	3.81
dough	word	6	4.1	5.96
doughboy	word	4.84	4	5.05
doughnut	word	7.5	4.5	5.87
douse	word	3.92	3.92	5.21
dove	word	6.9	3.27	6.14
downer	word	3.47	3.13	4.05
downfall	word	3.2	4.5	3.64
downfield	word	4.84	2.5	4.57
download	word	6	3.6	6.26
downriver	word	5.61	3.55	3.8
downside	word	3.55	4.63	4.29
downtime	word	5.8	3.06	6.14
downward	word	4	4.05	3.96
downy	word	5.77	3.11	5.52
dowry	word	4.7	3.11	5.17
doze	word	5.95	3.37	5.65
dozen	word	5.78	2.95	5.56
Dr. Pepper	word	6.9	4.48	5.95
drab	word	2.76	2.35	4.77
draft	word	5.3	4.1	5.28
drafty	word	4.3	3.73	4.89
drag	word	3.68	4.81	5.52
dragon	word	6.68	5.45	5.17
dragonfly	word	6.45	3.86	5.41
drain	word	3.8	2.94	5.17
drainage	word	3.89	3.52	4.65
drainpipe	word	4.52	2.91	4.72
drake	word	5.05	4.32	5.21
drama	word	4.37	5.14	4.14
dramatic	word	5.17	6.59	4.77
drape	word	4.95	3.29	5.38
drastic	word	4.63	5.2	4.92
drat	word	4.25	3.4	4.48
draught	word	3.9	3.32	4.36
draw	word	6.18	3.6	6.37
drawback	word	4.38	3.08	4.35
drawbridge	word	5.45	3.3	4.95
drawer	word	4.67	3	5.71
dread	word	3	4.5	3.62
dreaded	word	2.11	5.1	3.5
dreadful	word	2.6	4.5	3.38
dream	word	7.43	4.37	5.4
dreamboat	word	7.47	4.27	5.91
dreamer	word	7.45	4.4	6.53
dreamland	word	7	3.95	5.31
dreamy	word	7.52	4.9	6.28
dreary	word	3.55	3.54	4.28
dredge	word	3.32	3.36	4.18
dress	word	6.42	4.73	6.64
dresser	word	5.28	2.58	4.96
dressmaker	word	6.85	3.05	5.52
dressy	word	5.82	4.15	7.55
dribble	word	4.68	3.75	4.67
drift	word	5.09	3.32	4.57
drifter	word	4.95	4.32	5.48
driftwood	word	5.53	3.1	4.96
drill	word	4.73	5.11	5.48
drink	word	6.67	5.19	5.87
drinker	word	3.72	5.32	3.96
drip	word	5.52	3.7	4.11
drive	word	6.5	4.19	5.67
drivel	word	4.29	4.65	4.4
driver	word	6.39	3.15	5.56
driveway	word	4.57	3.38	6.24
drizzle	word	5.18	4.23	4.68
droll	word	5.09	3.41	5.25
drone	word	3.5	4.3	4.89
drool	word	3.28	2.7	4.35
droopy	word	4	3.18	4.42
drop	word	4.23	4.67	4.82
dropout	word	3.33	4.7	3.95
dropper	word	5.05	3.45	4.46
drought	word	2.79	3.55	2.95
drown	word	2.33	5.35	2.65
drowsy	word	4.25	2.83	3.47
drug	word	4.11	4.48	3.67
drug dealing	word	2.81	4.7	3.71
druggist	word	3.89	4	3.88
drugs	word	3.86	5.78	4.32
drugstore	word	4.74	4.05	5.07
drum	word	6.05	4.67	5.65
drummer	word	6.53	4.5	5.92
drunk	word	4.06	5.05	2.94
drunk driving	word	1.58	5.73	3.36
drunkard	word	3.28	4.45	3.21
drunken	word	3	4.36	4.05
drunkenness	word	3.42	6.05	3.97
dry	word	4.86	3.8	6.21
dryer	word	5.21	2.43	4.57
dual	word	5.14	4.39	5.21
dub	word	5.35	4.58	5.36
dubious	word	3.47	4.33	5.17
duchess	word	6.15	3.92	4.45
duck	word	6.11	4	5.3
duckling	word	7.18	3.92	5.83
ducky	word	6.6	3.81	5.6
duct	word	4.24	2.8	4.63
dud	word	3.74	3.33	4.24
dude	word	5.91	3.81	5.59
due	word	4.94	4.38	3.72
duel	word	5.05	5.55	4.82
duet	word	6.11	3.79	5.71
duffel	word	4.9	3.5	5.83
dugout	word	4.55	4.08	4.95
duh	word	4.5	3.9	4.85
duke	word	4.8	4.21	5.41
dull	word	3.4	1.67	4.71
dullard	word	4.68	3.58	4.65
dumb	word	2.44	5.3	4.39
dumbbell	word	4.71	3.54	4.95
dummy	word	3.66	3.79	3.71
dump	word	3.73	3.67	4.5
dumpling	word	6.48	2.5	5.04
dumpster	word	3.48	4	4.44
dunce	word	3.24	4.95	4.72
dune	word	5.35	2.76	5.15
dung	word	3.86	3.45	4.65
dungeon	word	3.52	5.13	3.68
dunk	word	4.67	3.6	5.18
duo	word	6.45	3.75	5.75
dupe	word	4	3.73	3.86
duplex	word	5.67	3.09	4.8
duplicate	word	4.7	4.5	5.5
duration	word	5.43	3.3	4.81
duress	word	2.82	4.45	3.17
dusk	word	5.63	3.52	5.27
dusky	word	4.95	4.55	4.58
dust	word	3.72	3.45	4.56
duster	word	5.26	2.85	5.75
dustpan	word	4.67	2.86	5.36
dusty	word	3.95	4.1	4.7
duty	word	5.33	3.71	4
dwarf	word	4.71	3.43	3.84
dweeb	word	4.17	3.86	4.68
dwell	word	4.75	3.14	5.3
dwelling	word	5.21	3.57	5.82
dye	word	5.25	3.3	4.77
dyke	word	3.8	3.67	3.67
dynamic	word	6.1	5.43	5.52
dynamite	word	4.79	6.4	4.65
dynamo	word	6.21	5.18	5.82
dynasty	word	5.16	4.45	5.45
dysentery	word	3	3.75	3.05
dysfunction	word	3.18	4.9	3.16
dysfunctional	word	3.09	4.63	2.95
eager	word	6.37	5.78	6.46
eagle	word	6.47	4.57	5.09
ear	word	5.86	3.5	6.74
earful	word	4.27	4.19	4.73
earl	word	5.15	3.64	5.76
earn	word	7	4.35	6.75
earnest	word	5.9	3.81	6.67
earnings	word	6.37	4.84	6.85
earpiece	word	5.04	3.86	5.95
earring	word	6.45	3.59	5.71
earrings	word	5.32	4.22	5.71
earth	word	6.83	5.04	5.69
earthling	word	5.53	3.09	4.61
earthly	word	5.63	3.55	5.83
earthquake	word	3.05	6.76	2.14
earthy	word	6.5	3.29	6.56
ease	word	6.15	2.45	6.42
east	word	6.33	2.5	5.17
eastbound	word	5.65	2.2	5.68
eastern	word	5.37	3.48	4.48
easy	word	7.47	3.82	6.79
easygoing	word	7.03	3.2	6.76
eat	word	7.1	4.38	7.26
eater	word	4.95	4.23	5.87
eavesdrop	word	4.05	4.33	5.2
ebony	word	6.14	4.32	4.71
eccentric	word	5.37	5.19	6.1
echelon	word	5.55	3.17	4.43
echinacea	word	4.8	3.73	5.42
echo	word	5.2	3.61	4.59
eclectic	word	5.9	4.5	5.75
eclipse	word	6.76	5.12	5.79
ecological	word	5.62	3.81	5.08
economic	word	5.1	3.62	4.21
economics	word	5.2	3.7	4.05
economy	word	3.64	5.32	4.16
ecosystem	word	6.5	3.71	4.41
ecstasy	word	7.19	6.11	5.52
ecstatic	word	6.45	6.95	5.63
edema	word	3.86	3.27	4.42
edge	word	4.43	4.65	4.31
edgy	word	4.81	4.39	4.56
edible	word	6.68	5.15	6.45
edifice	word	5	3.95	5.33
edit	word	4.95	4.1	6.64
editing	word	5.45	5.58	6.57
edition	word	5.3	3.79	4.81
editor	word	5.43	4.09	5.9
editorial	word	5.18	2.9	5.77
educate	word	7.48	4.36	6.79
education	word	6.58	4.64	6.82
educational	word	6.6	4.52	5.68
educator	word	6.58	3.5	6.11
eel	word	4.14	4.79	4.86
eerie	word	3.4	5.57	3.91
effect	word	5.5	4.08	5.88
effective	word	6.95	3.95	7.2
effectiveness	word	6.9	4.95	6.19
efficiency	word	6.74	3.74	6.79
efficient	word	6.95	3.86	6.67
effort	word	6.47	4.12	6.64
effortless	word	7.1	3.43	7
egg	word	5.95	3.28	5.74
egghead	word	4.47	3.59	4.57
eggnog	word	6	4.27	5.26
eggplant	word	5.55	3.14	5.77
eggshell	word	5.2	3.17	4.33
ego	word	4.38	4.17	6.05
egomaniac	word	3.68	5.53	5.19
egotistical	word	3.08	5.14	5.23
eight	word	5.37	3.48	5.26
eighteen	word	5.72	3.83	5.71
eighty	word	5.43	3.41	4.41
ejaculate	word	6	6.15	5.83
ejaculation	word	5.42	6.18	5.04
eject	word	3.95	4.42	5.18
ejection	word	3.5	4.29	3.62
El Nino	word	4.29	4.09	3.52
elaborate	word	6.38	4.23	6.05
elastic	word	5.71	4.35	5.05
elated	word	6.56	5.14	6.86
elbow	word	5.38	3.2	6.02
elder	word	6.11	2.5	4.14
elderly	word	4.63	2.73	4.91
elect	word	5.52	4	5.43
election	word	4.5	4.23	5
elective	word	5.38	3.54	6.35
electoral	word	4.21	3.86	4.96
electric	word	6.1	4.05	5.48
electric slide	word	6.05	4.73	5.67
electrical	word	5.57	6	4.97
electrician	word	5.21	3.19	5.73
electricity	word	6.15	4.3	4.68
electrocute	word	3.27	6	4.42
electrocution	word	2.45	5.76	2.5
electromagnetic	word	5.1	5.22	4.86
electron	word	5.33	3.82	4.57
electronic	word	6.52	3.64	5.41
electronics	word	6.5	4.6	5.96
elegance	word	6.91	4.24	6.26
elegant	word	7	4.43	5.95
element	word	5.58	3.9	5
elemental	word	5.19	4.35	4.77
elementary	word	6.11	3.5	4.91
elephant	word	6.17	4.23	4.23
elevate	word	6.42	4.65	5.67
elevation	word	5.67	3.57	6.06
elevator	word	5.95	3.65	4.92
eleven	word	5	3.05	5.2
elf	word	6.1	4.3	5.43
elicit	word	4.14	5.27	4.4
eligible	word	6.45	4.81	6
eliminate	word	3.89	3.64	5.48
elimination	word	3.86	3.35	4.33
elite	word	5.71	5.9	5.34
elitist	word	4.5	4.57	5.74
elixir	word	5.68	3.95	5.43
elk	word	5.81	3.48	4.67
elm	word	6.32	3.05	5.43
elope	word	6.58	5.7	6.21
eloquence	word	6.76	3.91	6.46
eloquent	word	7.16	4.61	6.37
elude	word	4.62	4	5.05
elusive	word	4.3	4.5	4.73
email	word	6	4.5	6.11
emancipation	word	6.57	3.65	4.73
embankment	word	5	3.62	5.43
embargo	word	5.05	4.59	5.45
embark	word	5.89	4.3	6.39
embarrass	word	3.38	5.47	4.22
embarrassed	word	3.51	5.38	3.67
embarrassing	word	3.53	5.95	3.87
embarrassment	word	2.72	5.45	2.92
embassy	word	5.3	3.91	5.79
embattled	word	4.05	4.02	4.88
embezzlement	word	2.95	4.67	4.18
embezzler	word	3.05	5.24	3.79
emblem	word	6	2.67	5.46
embodiment	word	5.72	3.78	4.91
embolism	word	2.14	4.17	4.05
embrace	word	7	5.82	6.58
embroidery	word	6.53	2.85	6.05
embryo	word	5.75	3.7	4.86
emcee	word	5.15	4.05	4.74
emerald	word	7.3	5.33	6.32
emerge	word	5.75	4.74	6.67
emergency	word	2.72	6.43	2.72
emery	word	4.74	3.59	5.6
eminence	word	5.43	4.5	5
eminent	word	5.58	4.95	5.09
emissary	word	4.76	3.39	5.56
emission	word	4.1	3.67	4.68
emit	word	4.81	3.96	5.26
emotion	word	6.62	4.75	5
emotional	word	5.11	5.32	4.5
empathize	word	7.1	3.55	6.38
empathy	word	7.29	3.62	5.9
emperor	word	4.68	4.25	5.32
emphasis	word	5.26	4.1	5
emphasize	word	5.75	4.21	6.43
emphysema	word	2.47	4.25	4.3
empire	word	5.36	4.59	5.95
empirical	word	4.67	4.14	5.3
employ	word	5.89	3.83	5
employee	word	5.29	4.65	4.81
employer	word	5.3	4.06	3.3
employment	word	6	5.02	5.36
emporium	word	5.25	4.17	6.05
empress	word	4.95	3.87	6.1
emptiness	word	3.26	3.18	4.1
empty	word	3.78	2.25	3.61
emu	word	5.45	4	6.21
emulate	word	5.11	4.15	5.83
enable	word	5.13	3.95	5.45
enamel	word	5.42	3.79	5.31
enchanted	word	7.16	5.27	6
enchanting	word	6.8	5.56	5.5
enchantment	word	6.8	5.29	5.22
enchantress	word	5.82	4.1	5.68
enchilada	word	6.63	4.39	5.82
enclosure	word	4.6	3.35	4.64
encore	word	6.9	4.09	5.52
encounter	word	5.16	4.67	5.3
encourage	word	7.16	4.38	6.2
encouragement	word	6.7	5.59	6.58
encouraging	word	6.89	4.23	6.87
encryption	word	5.14	4	5.32
encyclopedia	word	6.14	5	6.48
end	word	4.73	3.95	4.41
end table	word	5.25	2.7	4.9
endanger	word	2.67	4.72	3.95
endangerment	word	3	4.84	3.84
endearing	word	7.17	4.17	6.26
endeavor	word	6.42	4.19	5.75
endgame	word	4.23	5.26	5.32
ending	word	4.23	4.19	4.59
endless	word	4	4.23	3.25
endorse	word	5.2	3.17	6.45
endorsement	word	6.05	3.76	5.92
endowment	word	6	3.67	6.15
endurance	word	6.86	5.6	6.03
endure	word	4.95	3.77	6.06
enduring	word	6.67	3.36	6.37
enema	word	3.29	4.13	3.2
enemy	word	2.22	5.3	2.5
energetic	word	7.57	6.1	5.81
energize	word	7.43	6	6.55
energy	word	6.9	6.25	6.53
enforce	word	5.32	5.3	5.49
enforcement	word	4.67	4.48	4
enforcer	word	3.81	4.2	5.36
engage	word	6.6	5.28	6.42
engaged	word	6.78	5.2	5.42
engagement	word	6.65	5.19	6.29
engine	word	5.48	3.89	5.36
engineer	word	5.79	4.22	6.53
engineering	word	6	3.14	5.61
engraving	word	6.17	3.05	5.44
enhance	word	6.62	4.04	6.58
enhancement	word	6.29	4.39	6.22
enigma	word	5.35	4.65	5.18
enjoy	word	7.67	5	7.28
enjoyable	word	7.63	4.77	7
enjoyment	word	8.37	5.48	6.56
enlarge	word	5.33	3.87	5.89
enlargement	word	4.65	3.86	5.4
enlighten	word	7.38	3.23	6.3
enlightening	word	7	5.91	6.37
enlightenment	word	6.79	4.52	6.5
enlist	word	4.42	3.71	5.58
ennui	word	4.13	3.26	4.7
enormous	word	5.68	5.05	6
enraged	word	2.33	5.22	4.4
enroll	word	5.94	4.25	5.86
enrollment	word	6.19	3.76	6.05
ensemble	word	5.67	3.86	5.4
enslave	word	2.67	5.35	4.08
ensure	word	5.71	3.57	5.96
entail	word	5.35	4.11	5
enter	word	6.09	4.3	6.79
enterprise	word	6	4	5.65
enterprising	word	5.52	4.33	6.2
entertain	word	7.21	5.19	6.7
entertainer	word	6.48	6.15	5.31
entertaining	word	8	5.28	6.45
entertainment	word	7.59	6.42	5.86
enthusiasm	word	7.14	4.18	6.69
enthusiast	word	6.65	5.91	6.89
enthusiastic	word	7.55	5.9	6.21
entice	word	5.33	4.42	5.15
entire	word	5.67	2.85	5.06
entirety	word	5.95	3.1	6.13
entitle	word	4.89	4	6.38
entity	word	5.19	3.48	4.94
entourage	word	4.9	4	5.29
entrails	word	3.37	4.7	4.21
entrance	word	6.05	3.7	5.41
entrapment	word	3.3	5.91	3.57
entree	word	6.63	3.95	6.82
entrepreneur	word	6.14	3.68	7.67
entrust	word	6.32	3.2	6.8
entry	word	4.95	4.41	6.37
envelope	word	5.95	2.8	5.5
envious	word	3.52	5.1	3.86
environment	word	6.7	3.45	4.62
environmental	word	5.5	6.05	5.68
envision	word	6.14	3.76	6.64
envoy	word	4.9	3.74	4.64
envy	word	3.05	4.35	3.16
enzyme	word	5.14	3.1	4.92
epic	word	7.19	4.8	5.32
epidemic	word	2.05	6.18	2.58
epidural	word	3.65	4.94	4.26
epilepsy	word	2.7	5	2.9
epileptic	word	3.32	4.62	4
epiphany	word	7.06	4.6	5.48
episode	word	5	3.67	5.4
epitaph	word	4.53	3.52	5.26
epitome	word	5.67	4.23	6.14
equal	word	6.47	3.52	6.64
equality	word	6.75	4.73	6
equalizer	word	5.05	3.68	5.46
equate	word	6.16	3.84	5.13
equation	word	5.29	3.91	5.59
equator	word	5.42	4.1	5.26
equestrian	word	5.71	3.35	5.5
equilibrium	word	6.32	2.5	5.68
equipment	word	5.62	3.04	5.2
equity	word	5.41	3.91	5.65
equivalent	word	5.89	3.95	5.57
era	word	5.29	3.62	4.92
eradicate	word	3.79	5.09	4.95
erase	word	4.89	3.55	5.42
eraser	word	5.64	3.57	6.89
erect	word	5.79	5.43	5.7
erectile	word	4.5	5.5	4.53
erection	word	7.38	7.37	5.18
ergo	word	4.86	4	5.21
erosion	word	3.79	5.86	3.91
erotic	word	5.83	7.27	5.9
erotica	word	6.1	6.52	5.56
err	word	3.58	3.68	4.82
errand	word	4.68	3.89	6.15
errant	word	4.43	4.8	4.23
erratic	word	3.21	5.1	4.4
erroneous	word	4.38	4.64	4.07
error	word	3.36	4.43	4.18
erupt	word	5.14	6.41	3.32
eruption	word	4.74	6.09	2.82
escalate	word	4.05	6.25	5.24
escalating	word	4.76	4.5	5.58
escalation	word	4.82	4.91	4.6
escalator	word	5.95	4.55	5.31
escape	word	5.5	4.55	5.44
escort	word	5.35	5.32	5.63
escrow	word	4.56	3.11	4.38
esophagus	word	4.5	3.76	5.04
espionage	word	4.05	5.5	4.5
espresso	word	6.68	5.25	6.3
esquire	word	5.67	2.9	5.38
essay	word	4.9	4	5.55
essence	word	6.75	3.86	5.62
essential	word	6.26	4.3	6.3
establish	word	5.58	3.72	6.29
estate	word	5.65	3.45	5.27
esteem	word	6.38	3.91	6.45
esteemed	word	5.95	4.72	5.54
estimate	word	5.95	3.41	5.43
estimation	word	4.67	3.18	5.26
estranged	word	3.67	3.95	4.48
estrogen	word	5.22	4.45	4.2
eternal	word	6.76	3.59	5.41
eternity	word	6.05	3.77	4.37
ether	word	4.63	4.81	4.26
ethic	word	6	3.57	6
ethical	word	5.78	3.78	5.71
ethics	word	6	3.71	6.6
ethnic	word	5.36	3.55	5.05
etiquette	word	6	3.71	5.65
eucalyptus	word	6.05	3.1	5.57
eulogy	word	3.43	4.16	4.05
euphemism	word	5.05	3.48	5.5
euphoria	word	7.26	5.68	6.73
euphoric	word	7.8	5.25	6.77
euro	word	5.35	3.57	5
euthanasia	word	3.3	5.18	5.4
evacuate	word	3.4	5.17	3.32
evacuation	word	4.23	5.24	3.14
evade	word	4.55	5.91	5.95
evaluate	word	5.1	3.78	6.2
evaluation	word	4.86	5.89	4.62
evaporate	word	5.4	4	4.81
evasion	word	3.36	4.77	5.25
evasive	word	3.24	3.39	5.06
evening	word	7.09	3.1	5.22
evens	word	5.33	3.7	4.32
event	word	6.21	5.1	5
eventual	word	5.05	3.42	4.75
everlasting	word	6.55	3.85	5.23
everyday	word	5.47	3.14	5.96
everyman	word	5.42	3.52	4.4
evict	word	2.63	4.73	3.96
eviction	word	3	4.67	3.68
evidence	word	4.72	3.9	4.61
evident	word	5.1	3.76	6.16
evidentiary	word	4.5	4.22	4.42
evil	word	2.34	5.67	3.6
evolution	word	5.35	6.3	4.77
evolutionary	word	5.62	5.59	4.43
evolve	word	5.7	4.46	5.48
ex	word	2.7	4.79	4
exact	word	5.58	3.95	5.7
exacting	word	5.42	4.45	5.11
exaggerate	word	4.36	4.48	5.55
exaggeration	word	4.19	5.8	4.84
exam	word	4.33	5.17	4.19
examination	word	5.05	4.5	5.05
examine	word	5.61	3.95	5.84
examiner	word	4.29	3.7	6.25
example	word	4.9	3.55	6.74
excavation	word	4.89	4.64	5.67
exceed	word	4.79	5.52	6.75
excel	word	5.95	4.85	6.61
excellence	word	7.87	5.3	7.4
excellent	word	7.56	5.15	7.22
excelsior	word	5.95	4	5.35
exception	word	5.25	4.35	4.12
exceptional	word	7.32	5	6.32
excess	word	4.29	5.42	5.29
excessive	word	4.37	3.73	4.04
exchange	word	5.9	4.76	5.88
excitable	word	5.68	5.43	6.55
excite	word	7.79	6.61	5.79
excited	word	8.11	6.43	7.33
excitement	word	7.62	6.21	6.33
exciting	word	7.95	6.95	7.21
exclamation	word	6.85	5.4	6
exclude	word	3.55	4.81	4.67
exclusive	word	4.5	5	5.58
excrement	word	2	4.64	3.38
excruciating	word	2.1	5.3	3.36
excursion	word	5.83	4.26	6.05
excuse	word	4.52	3.61	4.72
exec	word	4.86	3.71	5.55
execute	word	3.94	5.79	5.04
execution	word	2.28	6	3.27
executioner	word	2.23	6.59	3.68
executive	word	4.95	4.32	4.95
executor	word	3.95	5.1	5.54
exemplary	word	5.58	4.79	6.57
exempt	word	4.84	4.43	5.54
exemption	word	5.37	4.17	5.32
exercise	word	6.33	5.41	6.9
exert	word	5.47	4.64	6
exhale	word	6.11	3.75	6.27
exhaust	word	4	4.26	4.36
exhaustion	word	3.21	4.52	4.29
exhaustive	word	4.24	4.5	4.54
exhibit	word	5.77	5.48	6.21
exhibition	word	5.53	5.38	5.39
exhilarated	word	6.9	6.55	6.51
exhilarating	word	7.39	6.83	5.76
exhumation	word	2.89	4.5	4.14
exhume	word	3.95	4.5	4.81
exile	word	3.32	5.87	3.37
exist	word	5.9	4	6.05
existence	word	6.25	4.38	5.11
existential	word	5.86	4.28	6.06
existing	word	4.83	5.05	6.46
exit	word	5.35	3.18	7
exodus	word	4.63	4.45	5.62
exonerate	word	5.44	3.83	5.82
exorcism	word	3.15	5.96	3.71
exorcist	word	3.76	6.29	3.8
exotic	word	7.55	6.9	5.65
expand	word	5.35	3.3	5.43
expansion	word	6.4	5.7	5.42
expect	word	5.95	4.86	4.89
expectancy	word	6.32	4.35	5.41
expectation	word	6.1	4.5	5.05
expedient	word	5.3	4.55	6.84
expedite	word	6.1	4.86	5.96
expedition	word	6.53	4.5	5.78
expel	word	3.75	4.24	4.17
expendable	word	3.85	5.11	4
expense	word	3.9	4.82	4.41
expensive	word	3.36	6.1	6.21
experience	word	6.89	3.71	6.94
experiment	word	6.05	4.86	5.7
experimental	word	5.65	5.57	4.62
experimentation	word	6	5.52	5.48
expert	word	6.74	4.05	6.91
expertise	word	6.1	5.95	6.73
expiration	word	3.45	4.29	3.72
expire	word	3.16	4	3.8
explain	word	5.41	4	6.22
explanation	word	6.38	4.05	6.14
explicit	word	4.82	5.23	4.18
explode	word	4.38	5.32	2.96
exploit	word	3.65	5.24	4.16
exploitation	word	2.89	6.1	5
exploration	word	6.71	5	5.36
exploratory	word	5.95	4.29	5.88
explore	word	7	4.05	6.52
explorer	word	5.9	5.24	6.43
explosion	word	3.17	6.35	3.62
explosive	word	4.14	6.62	3.32
expo	word	6.26	4.43	5.11
export	word	4.79	3.45	5.54
expose	word	4.14	5.89	4.24
exposition	word	5.43	4.3	5.4
exposure	word	4.81	5.45	5.08
express	word	5.53	4.79	6.57
expression	word	6.15	4.33	6.88
expressive	word	5.95	5.5	7.39
expressway	word	4.55	4.06	4.59
expulsion	word	2.52	4.65	3.58
exquisite	word	7.53	4.59	6.55
extend	word	5.86	3.62	6
extension	word	5	4.15	6.08
extensive	word	5.25	4.75	5.71
extent	word	5.57	3.68	5
exterior	word	5.55	3.39	5.91
exterminate	word	3.19	6.04	4.23
extermination	word	3.65	5.5	4.95
